iter	Passed	Remaining
0	59	59027
1	59	29683
2	59	19889
3	60	15021
4	60	12075
5	61	10110
6	61	8706
7	61	7651
8	62	6831
9	62	6174
10	62	5636
11	63	5190
12	63	4812
13	63	4488
14	64	4207
15	64	3964
16	64	3747
17	65	3553
18	65	3380
19	65	3222
20	66	3080
21	66	2951
22	66	2834
23	67	2727
24	67	2629
25	67	2541
26	68	2455
27	68	2376
28	68	2302
29	69	2233
30	69	2168
31	69	2108
32	70	2051
33	70	1997
34	70	1947
35	70	1899
36	71	1854
37	71	1812
38	72	1788
39	72	1748
40	73	1711
41	73	1675
42	73	1644
43	74	1611
44	74	1580
45	74	1550
46	75	1521
47	75	1494
48	75	1468
49	75	1442
50	76	1432
51	77	1408
52	77	1385
53	77	1364
54	78	1343
55	78	1322
56	78	1302
57	79	1283
58	79	1264
59	79	1246
60	79	1229
61	80	1213
62	80	1197
63	80	1182
64	81	1167
65	81	1152
66	81	1137
67	81	1121
68	82	1107
69	82	1094
70	82	1081
71	82	1068
72	83	1056
73	83	1044
74	83	1033
75	84	1021
76	84	1010
77	84	999
78	84	989
79	85	979
80	85	970
81	85	960
82	86	951
83	86	941
84	86	931
85	86	922
86	86	912
87	87	903
88	87	895
89	87	887
90	88	879
91	88	872
92	88	865
93	88	857
94	89	850
95	89	843
96	89	836
97	90	829
98	90	822
99	90	816
100	90	809
101	91	801
102	91	795
103	91	789
104	91	782
105	92	776
106	92	770
107	92	764
108	92	759
109	93	754
110	93	749
111	93	744
112	94	738
113	94	733
114	94	727
115	94	722
116	95	717
117	95	712
118	95	707
119	95	702
120	96	698
121	96	694
122	96	688
123	96	684
124	97	679
125	97	675
126	97	670
127	97	665
128	97	661
129	98	657
130	98	653
131	98	649
132	99	645
133	99	641
134	99	637
135	99	634
136	100	630
137	100	626
138	100	622
139	100	619
140	101	616
141	101	612
142	101	609
143	101	605
144	102	602
145	102	599
146	102	596
147	102	592
148	103	589
149	103	586
150	103	583
151	103	580
152	104	577
153	104	574
154	104	571
155	105	568
156	105	565
157	105	563
158	105	560
159	106	557
160	106	554
161	106	552
162	107	549
163	107	546
164	107	544
165	107	541
166	108	539
167	108	536
168	108	534
169	108	531
170	109	529
171	109	527
172	109	524
173	110	522
174	110	519
175	110	517
176	110	515
177	111	513
178	111	510
179	111	508
180	111	505
181	112	503
182	112	501
183	112	499
184	112	497
185	113	496
186	113	493
187	113	491
188	114	489
189	114	487
190	114	485
191	114	483
192	115	481
193	115	479
194	115	477
195	115	475
196	116	473
197	116	472
198	116	470
199	117	468
200	117	466
201	117	465
202	118	463
203	118	461
204	118	460
205	118	458
206	119	456
207	119	454
208	119	452
209	119	451
210	120	449
211	120	448
212	120	446
213	121	444
214	121	443
215	121	441
216	121	439
217	122	438
218	122	436
219	122	434
220	122	433
221	123	431
222	123	430
223	123	428
224	123	427
225	124	425
226	124	424
227	124	422
228	125	421
229	125	419
230	125	418
231	125	416
232	126	415
233	126	413
234	126	412
235	126	410
236	127	409
237	127	408
238	127	406
239	128	405
240	128	403
241	128	402
242	128	401
243	129	399
244	129	398
245	129	397
246	129	395
247	130	394
248	130	393
249	130	392
250	130	390
251	131	389
252	131	388
253	131	386
254	131	385
255	132	384
256	132	383
257	132	382
258	133	380
259	133	379
260	133	378
261	133	377
262	134	376
263	134	374
264	134	373
265	135	372
266	135	371
267	135	370
268	135	368
269	136	367
270	136	366
271	136	365
272	136	364
273	137	363
274	137	362
275	137	361
276	137	359
277	138	358
278	138	357
279	138	356
280	138	355
281	139	354
282	139	353
283	139	352
284	139	351
285	140	349
286	140	348
287	140	347
288	140	346
289	141	345
290	141	344
291	141	343
292	142	342
293	142	341
294	142	340
295	142	340
296	143	339
297	143	338
298	143	337
299	143	335
300	144	335
301	144	333
302	144	333
303	145	332
304	145	331
305	145	330
306	145	329
307	146	328
308	146	327
309	146	326
310	146	325
311	147	324
312	147	323
313	147	322
314	148	322
315	148	321
316	148	320
317	148	319
318	149	318
319	149	317
320	149	316
321	150	316
322	150	315
323	150	314
324	151	313
325	151	312
326	151	311
327	151	311
328	152	310
329	152	309
330	152	308
331	152	307
332	153	306
333	153	306
334	153	305
335	153	304
336	154	303
337	154	302
338	154	301
339	155	300
340	155	300
341	155	299
342	155	298
343	156	297
344	156	296
345	156	296
346	156	295
347	157	294
348	157	293
349	157	292
350	157	292
351	158	291
352	158	290
353	158	289
354	159	289
355	159	288
356	159	287
357	159	286
358	160	286
359	160	285
360	160	284
361	161	283
362	161	283
363	161	282
364	161	281
365	162	280
366	162	280
367	162	279
368	162	278
369	163	277
370	164	278
371	164	277
372	164	276
373	165	276
374	165	275
375	165	274
376	165	274
377	166	273
378	166	272
379	166	272
380	166	271
381	167	270
382	167	269
383	167	269
384	168	268
385	168	267
386	168	266
387	168	266
388	169	265
389	169	264
390	169	264
391	169	263
392	170	262
393	170	261
394	170	261
395	170	260
396	171	259
397	171	259
398	171	258
399	171	257
400	172	257
401	172	256
402	172	255
403	172	255
404	173	254
405	173	253
406	173	253
407	174	252
408	174	252
409	174	251
410	175	250
411	175	250
412	175	249
413	175	249
414	176	248
415	176	247
416	176	247
417	176	246
418	177	245
419	177	245
420	177	244
421	178	243
422	178	243
423	178	242
424	178	242
425	179	241
426	179	240
427	179	240
428	180	239
429	180	239
430	180	238
431	181	237
432	181	237
433	181	236
434	181	236
435	182	235
436	182	234
437	182	234
438	182	233
439	183	233
440	183	232
441	183	231
442	183	231
443	184	230
444	184	230
445	184	229
446	185	228
447	185	228
448	185	227
449	185	227
450	186	226
451	186	225
452	186	225
453	186	224
454	187	224
455	187	223
456	187	222
457	187	222
458	188	221
459	188	221
460	188	220
461	188	220
462	189	219
463	189	218
464	189	218
465	189	217
466	190	217
467	190	216
